Name;Sport;Date;Start time;Duration;Total distance (km);Average heart rate (bpm);Average speed (km/h);Max speed (km/h);Average pace (min/km);Max pace (min/km);Calories;Fat percentage of calories(%);Carbohydrate percentage of calories(%);Protein percentage of calories(%);Average cadence (rpm);Average stride length (cm);Running index;Training load;Ascent (m);Descent (m);Average power (W);Max power (W);Notes;Height (cm);Weight (kg);HR max;HR sit;VO2max;
;CYCLING;;;00:35:48;;149;;;;;433;20;79;1;;;;;;;;;;;;;;;
Sample rate;Time;HR (bpm);Speed (km/h);Pace (min/km);Cadence;Altitude (m);Stride length (m);Distances (m);Temperatures (C);Power (W);;;;;;;;;;;;;;;;;;;
1;00:00:00;82;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:01;82;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:02;82;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:03;83;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:04;83;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:05;84;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:06;84;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:07;85;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:08;86;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:09;86;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:10;88;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:11;88;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:12;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:13;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:14;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:15;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:16;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:17;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:18;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:19;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:20;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:21;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:22;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:23;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:24;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:25;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:26;88;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:27;88;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:28;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:29;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:30;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:31;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:32;88;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:33;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:34;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:35;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:36;89;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:37;91;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:38;93;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:39;93;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:40;93;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:41;93;;;;;;;;;;;;;;;;;;;;;;;;;;;
;00:00:42;93;;;;;;;;;;;;;;;;;;;;;;;;;;;
